Date Time,Occupancy,Temperature,Humidity,Light,CO2,HumidityRatio
02/02/15 14:19,1,23.7,26.272,585.2,749.2,0.004764163
02/02/15 14:19,1,23.718,26.29,578.4,760.4,0.004772661
02/02/15 14:21,1,23.73,26.23,572.6666667,769.6666667,0.004765153
02/02/15 14:22,1,23.7225,26.125,493.75,774.75,0.004743773
02/02/15 14:23,1,23.754,26.2,488.6,779,0.004766594
02/02/15 14:23,1,23.76,26.26,568.6666667,790,0.004779332
02/02/15 14:25,1,23.73,26.29,536.3333333,798,0.004776136
02/02/15 14:25,1,23.754,26.29,509,797,0.004783094
02/02/15 14:26,1,23.754,26.35,476,803.2,0.004794094
02/02/15 14:28,1,23.736,26.39,510,809,0.004796189
02/02/15 14:29,1,23.745,26.445,481.5,815.25,0.004808886
02/02/15 14:30,1,23.7,26.56,481.8,824,0.004816793
02/02/15 14:31,1,23.7,26.6,475.25,832,0.004824104
02/02/15 14:31,1,23.7,26.7,469,845.3333333,0.004842381
02/02/15 14:32,1,23.7,26.774,464,852.4,0.004855906
02/02/15 14:34,1,23.7,26.89,464,861,0.00487711
02/02/15 14:35,1,23.7,26.9725,455,880,0.004892191
02/02/15 14:36,1,23.6,26.89,454,891,0.004847594
02/02/15 14:37,1,23.64,26.976,458,897.6,0.004875045
02/02/15 14:38,1,23.65,27.05,464,900.5,0.004891492
02/02/15 14:38,1,23.64,27.1,473,908.8,0.00489763
02/02/15 14:39,1,23.6,27.16,464,918,0.004896652
02/02/15 14:41,1,23.6,27.236,498.4,925.2,0.004910462
02/02/15 14:42,1,23.6,27.29,530.2,929.4,0.004920275
02/02/15 14:43,1,23.6,27.33,533.6,936.4,0.004927544
02/02/15 14:44,1,23.6,27.34,524.25,950,0.004929361
02/02/15 14:44,1,23.625,27.3925,498.6666667,961,0.004946406
02/02/15 14:45,1,23.6,27.39,516.3333333,963,0.004938448
02/02/15 14:47,1,23.6,27.412,501.2,958.6,0.004942446
02/02/15 14:48,1,23.6,27.5,522,965.3333333,0.004958439
02/02/15 14:49,1,23.6,27.525,520.5,979.25,0.004962982
02/02/15 14:50,1,23.6,27.6,505.2857143,978.4285714,0.004976614
02/02/15 14:51,1,23.6,27.6,488.3333333,983,0.004976614
02/02/15 14:51,1,23.6,27.54,512,992.6,0.004965709
02/02/15 14:53,1,23.6,27.6,511,997.2,0.004976614
02/02/15 14:54,1,23.61666667,27.63333333,501.5,999.5,0.004987718
02/02/15 14:55,1,23.66666667,27.7,503.6666667,1001,0.005015051
02/02/15 14:55,1,23.6,27.7,483.1666667,1009.5,0.00499479
02/02/15 14:57,1,23.6,27.7225,483.5,1019,0.004998879
02/02/15 14:57,1,23.6,27.79,473,1021,0.005011149
02/02/15 14:58,1,23.6,27.85666667,470.3333333,1024.666667,0.005023268
02/02/15 15:00,1,23.6,27.80428571,480.1428571,1030.428571,0.005013746
02/02/15 15:01,1,23.575,27.79,464,1026.25,0.005003545
02/02/15 15:02,1,23.54,27.81,474.4,1028,0.004996538
02/02/15 15:03,1,23.6,27.978,470,1034.8,0.005045325
02/02/15 15:04,1,23.525,28,454,1055.5,0.005026367
02/02/15 15:04,1,23.5,27.978,454,1055.25,0.00501476
02/02/15 15:06,1,23.5,28,454,1050,0.005018735
02/02/15 15:07,1,23.5,28,454,1051.25,0.005018735
02/02/15 15:08,1,23.5,28,445,1053.6,0.005018735
02/02/15 15:08,1,23.5,28,439,1055.5,0.005018735
02/02/15 15:10,1,23.5,28.025,444.25,1055,0.005023252
02/02/15 15:10,1,23.445,28.125,454.75,1059.5,0.005024491
02/02/15 15:11,1,23.39,28.18,455.8,1060,0.005017582
02/02/15 15:13,1,23.39,28.2,451.6,1073.6,0.005021172
02/02/15 15:14,1,23.39,28.2,451.6,1078.6,0.005021172
02/02/15 15:15,1,23.39,28.2,454.75,1081,0.005021172
02/02/15 15:16,1,23.39,28.2225,454.75,1082,0.005025211
02/02/15 15:16,1,23.39,28.37333333,457.5,1088.833333,0.005052286
02/02/15 15:17,1,23.37,28.39,464,1090.6,0.00504913
02/02/15 15:19,1,23.39,28.32333333,464,1086,0.00504331
02/02/15 15:20,1,23.37333333,28.445,464,1092.5,0.005060017
02/02/15 15:21,1,23.39,28.5,471.5,1103.75,0.005075025
02/02/15 15:22,1,23.32333333,28.5,475.6666667,1104.5,0.005054476
02/02/15 15:23,1,23.365,28.5,471.5,1103.5,0.00506731
02/02/15 15:23,1,23.29,28.5,467.75,1112,0.005044229
02/02/15 15:24,1,23.30666667,28.53333333,466.5,1105.666667,0.005055304
02/02/15 15:26,1,23.29,28.7,464,1104,0.005079916
02/02/15 15:27,1,23.29,28.7,467,1117.2,0.005079916
02/02/15 15:28,1,23.29,28.675,467.75,1121.25,0.005075455
02/02/15 15:29,1,23.29,28.61666667,466.5,1115.666667,0.005065046
02/02/15 15:29,1,23.29,28.66,459,1120,0.005072779
02/02/15 15:30,1,23.29,28.55,464,1123.75,0.005053151
02/02/15 15:32,1,23.29,28.6,470,1116,0.005062072
02/02/15 15:33,1,23.272,28.6,464,1126.8,0.005056527
02/02/15 15:34,1,23.2,28.4175,464,1112.75,0.005002016
02/02/15 15:35,1,23.23,28.5,449,1104.5,0.005025831
02/02/15 15:36,1,23.29,28.5,464,1108,0.005044229
02/02/15 15:36,1,23.215,28.63333333,462.3333333,1127.833333,0.005044923
02/02/15 15:38,1,23.2,28.6,469,1128.75,0.005034399
02/02/15 15:39,1,23.2,28.65,469,1124.25,0.005043272
02/02/15 15:40,1,23.2,28.62,469,1130.4,0.005037948
02/02/15 15:40,1,23.2,28.7,464,1138,0.005052145
